Time_Index,Solar_CF,Wind_CF
1,0,0.23
2,0,0.23
3,0,0.25
4,0,0.3
5,0,0.29
6,0.02,0.27
7,0.21,0.32
8,0.34,0.34
9,0.51,0.32
10,0.66,0.33
11,0.78,0.34
12,0.84,0.33
13,0.85,0.29
14,0.83,0.28
15,0.76,0.26
16,0.64,0.22
17,0.49,0.19
18,0.33,0.16
19,0.18,0.14
20,0.05,0.15
21,0,0.18
22,0,0.22
23,0,0.21
24,0,0.2
25,0,0.23
26,0,0.23
27,0,0.25
28,0,0.3
29,0,0.29
30,0.02,0.27
31,0.21,0.32
32,0.34,0.34
33,0.51,0.32
34,0.66,0.33
35,0.78,0.34
36,0.84,0.33
37,0.85,0.29
38,0.83,0.28
39,0.76,0.26
40,0.64,0.22
41,0.49,0.19
42,0.33,0.16
43,0.18,0.14
44,0.05,0.15
45,0,0.18
46,0,0.22
47,0,0.21
48,0,0.2
49,0,0.23
50,0,0.23
51,0,0.25
52,0,0.3
53,0,0.29
54,0.02,0.27
55,0.21,0.32
56,0.34,0.34
57,0.51,0.32
58,0.66,0.33
59,0.78,0.34
60,0.84,0.33
61,0.85,0.29
62,0.83,0.28
63,0.76,0.26
64,0.64,0.22
65,0.49,0.19
66,0.33,0.16
67,0.18,0.14
68,0.05,0.15
69,0,0.18
70,0,0.22
71,0,0.21
72,0,0.2
73,0,0.23
74,0,0.23
75,0,0.25
76,0,0.3
77,0,0.29
78,0.02,0.27
79,0.21,0.32
80,0.34,0.34
81,0.51,0.32
82,0.66,0.33
83,0.78,0.34
84,0.84,0.33
85,0.85,0.29
86,0.83,0.28
87,0.76,0.26
88,0.64,0.22
89,0.49,0.19
90,0.33,0.16
91,0.18,0.14
92,0.05,0.15
93,0,0.18
94,0,0.22
95,0,0.21
96,0,0.2
97,0,0.23
98,0,0.23
99,0,0.25
100,0,0.3
101,0,0.29
102,0.02,0.27
103,0.21,0.32
104,0.34,0.34
105,0.51,0.32
106,0.66,0.33
107,0.78,0.34
108,0.84,0.33
109,0.85,0.29
110,0.83,0.28
111,0.76,0.26
112,0.64,0.22
113,0.49,0.19
114,0.33,0.16
115,0.18,0.14
116,0.05,0.15
117,0,0.18
118,0,0.22
119,0,0.21
120,0,0.2
121,0,0.23
122,0,0.23
123,0,0.25
124,0,0.3
125,0,0.29
126,0.02,0.27
127,0.21,0.32
128,0.34,0.34
129,0.51,0.32
130,0.66,0.33
131,0.78,0.34
132,0.84,0.33
133,0.85,0.29
134,0.83,0.28
135,0.76,0.26
136,0.64,0.22
137,0.49,0.19
138,0.33,0.16
139,0.18,0.14
140,0.05,0.15
141,0,0.18
142,0,0.22
143,0,0.21
144,0,0.2
145,0,0.23
146,0,0.23
147,0,0.25
148,0,0.3
149,0,0.29
150,0.02,0.27
151,0.21,0.32
152,0.34,0.34
153,0.51,0.32
154,0.66,0.33
155,0.78,0.34
156,0.84,0.33
157,0.85,0.29
158,0.83,0.28
159,0.76,0.26
160,0.64,0.22
161,0.49,0.19
162,0.33,0.16
163,0.18,0.14
164,0.05,0.15
165,0,0.18
166,0,0.22
167,0,0.21
168,0,0.2
169,0,0.43
170,0,0.37
171,0,0.31
172,0,0.25
173,0,0.25
174,0,0.29
175,0,0.32
176,0,0.39
177,0.02,0.4
178,0.15,0.51
179,0.28,0.58
180,0.39,0.62
181,0.45,0.61
182,0.44,0.64
183,0.37,0.61
184,0.25,0.63
185,0.09,0.62
186,0,0.57
187,0,0.51
188,0,0.48
189,0,0.5
190,0,0.49
191,0,0.44
192,0,0.45
193,0,0.43
194,0,0.37
195,0,0.31
196,0,0.25
197,0,0.25
198,0,0.29
199,0,0.32
200,0,0.39
201,0.02,0.4
202,0.15,0.51
203,0.28,0.58
204,0.39,0.62
205,0.45,0.61
206,0.44,0.64
207,0.37,0.61
208,0.25,0.63
209,0.09,0.62
210,0,0.57
211,0,0.51
212,0,0.48
213,0,0.5
214,0,0.49
215,0,0.44
216,0,0.45
217,0,0.43
218,0,0.37
219,0,0.31
220,0,0.25
221,0,0.25
222,0,0.29
223,0,0.32
224,0,0.39
225,0.02,0.4
226,0.15,0.51
227,0.28,0.58
228,0.39,0.62
229,0.45,0.61
230,0.44,0.64
231,0.37,0.61
232,0.25,0.63
233,0.09,0.62
234,0,0.57
235,0,0.51
236,0,0.48
237,0,0.5
238,0,0.49
239,0,0.44
240,0,0.45
241,0,0.43
242,0,0.37
243,0,0.31
244,0,0.25
245,0,0.25
246,0,0.29
247,0,0.32
248,0,0.39
249,0.02,0.4
250,0.15,0.51
251,0.28,0.58
252,0.39,0.62
253,0.45,0.61
254,0.44,0.64
255,0.37,0.61
256,0.25,0.63
257,0.09,0.62
258,0,0.57
259,0,0.51
260,0,0.48
261,0,0.5
262,0,0.49
263,0,0.44
264,0,0.45
265,0,0.43
266,0,0.37
267,0,0.31
268,0,0.25
269,0,0.25
270,0,0.29
271,0,0.32
272,0,0.39
273,0.02,0.4
274,0.15,0.51
275,0.28,0.58
276,0.39,0.62
277,0.45,0.61
278,0.44,0.64
279,0.37,0.61
280,0.25,0.63
281,0.09,0.62
282,0,0.57
283,0,0.51
284,0,0.48
285,0,0.5
286,0,0.49
287,0,0.44
288,0,0.45
289,0,0.43
290,0,0.37
291,0,0.31
292,0,0.25
293,0,0.25
294,0,0.29
295,0,0.32
296,0,0.39
297,0.02,0.4
298,0.15,0.51
299,0.28,0.58
300,0.39,0.62
301,0.45,0.61
302,0.44,0.64
303,0.37,0.61
304,0.25,0.63
305,0.09,0.62
306,0,0.57
307,0,0.51
308,0,0.48
309,0,0.5
310,0,0.49
311,0,0.44
312,0,0.45
313,0,0.43
314,0,0.37
315,0,0.31
316,0,0.25
317,0,0.25
318,0,0.29
319,0,0.32
320,0,0.39
321,0.02,0.4
322,0.15,0.51
323,0.28,0.58
324,0.39,0.62
325,0.45,0.61
326,0.44,0.64
327,0.37,0.61
328,0.25,0.63
329,0.09,0.62
330,0,0.57
331,0,0.51
332,0,0.48
333,0,0.5
334,0,0.49
335,0,0.44
336,0,0.45